jiu5-hi5	鰇魚
i-ka	醫家
i-kai3	醫界
i-ke3	衣架
i-kho	醫科
i-khoo3	依靠
i-ki3	依據
i-ki5	依期
i-kio7	椅轎
i-ku3	依據
i-ku7	依舊
i-kuan	衣冠
i-kuan2	醫館
i-kuann	醫官
i-kui	依歸
i-kui7	衣櫃
i-kun5	衣裙
i-lai7	依賴
i-lang	伊朗
i-li2	醫理
i-liau5	醫療
i-liau7	衣料
i-nai7	依賴
i-pau	衣包
i-pinn7	醫病
i-puah	衣缽
i-puat	衣缽
i-si2	醫死
i-sing	醫生
i-sit8	衣食
i-siunn	衣箱
i-su	醫師
i-su7	依序
i-su7	醫事
i-su7	醫士
i-sut8	醫術
i-ti7	醫治
i-tshau2	醫草
i-tsheh	醫冊
i-tshu3	依次
i-tsiau3	依照
i-tsiunn5	衣裳
i-tsun5	依存
i-ua2	依倚
i-uan5	依原
i-uan5	醫員
i-ui	蛜蝛
i-ut8	依聿
i2-a2	椅仔
i2-au7	以後
i2-bian2	以免
i2-bin7	椅面
i2-gua7	以外
i2-ha7	以下
i2-hong5	以防
i2-hue7	與會
i2-hun	已婚
i2-jian5	已然
i2-jiok8	椅褥
i2-ke5	椅枷
i2-kha	椅腳
i2-kham3	椅崁
i2-king	已經
i2-kio7	椅轎
i2-kip	以及
i2-kip8	以及
i2-ku2	已久
i2-kuainn	椅杆
i2-kuat	已決
i2-lai5	以來
i2-lai7	以內
i2-lam5	以南
i2-mua	椅幔
i2-ong2	以往
i2-pak	以北
i2-pan2	椅板
i2-pe7	椅背
i2-phi	椅披
i2-pian7	以便
i2-siang7	以上
i2-sing5	已成
i2-siong7	以上
i2-tang	以東
i2-tat8	以達
i2-thai3	以太
i2-thau5	椅頭
i2-the	椅撐
i2-thiam7	椅墊
i2-thian	倚天
i2-ti	已知
i2-ti3	以致
i2-tiam7	椅墊
i2-tiau5	椅條
i2-ting7	已定
i2-tiong7	倚仗
i2-tiu7	宇宙
i2-toh	椅桌
i2-tsa2	以早
i2-tshiu7	椅樹
i2-tshu2	以此
i2-tsian5	以前
i2-tsing5	以前
i2-tsu7	椅苴
i2-ui5	以為
i2-ui7	以為
i2-ui7	椅位
i3-bi2	薏米
i3-bi7	意味
i3-bian2	以免
i3-gi7	意義
i3-gua7	意外
i3-guan7	意願
i3-ha7	意下
i3-hiong3	意向
i3-hue7	意會
i3-i2	薏苡
i3-ik8	意譯
i3-jin5	薏仁
i3-khi3	意氣
i3-kian3	意見
i3-king2	意境
i3-kok	意國
i3-liam7	意念
i3-liau7	意料
i3-lin5	薏仁
i3-mi7	意麵
i3-sik	意識
i3-sin5	意神
i3-siong2	意想
i3-siong7	意象
i3-su3	意思
i3-ti3	意致
i3-tiong	意中
i3-too5	意圖
i3-tsi2	意旨
i3-tsi3	意志
i3-tsi3	污漬
i5--a2	姨--仔
i5-a2	姨仔
i5-an3	移案
i5-bi2	唯美
i5-bin5	移民
i5-bo2	姨母
i5-bu2	姨母
i5-bun5	移文
i5-giah8	餘額
i5-he7	維繫
i5-hiong3	移向
i5-hong	移風
i5-hoo7	維護
i5-ik8	移易
i5-it	唯一
i5-iu2	唯有
i5-jip8	移入
i5-jit8	移日
i5-kau	移交
i5-khuan2	餘款
i5-khui	移開
i5-ki	移居
i5-kiu	移柩
i5-kiu7	移柩
i5-ku	移居
i5-lik8	餘力
i5-ling5	移靈
i5-lun7	輿論
i5-ma2	姨媽
i5-mue7	姨妹
i5-piau2	姨表
i5-po5	姨婆
i5-puah	移撥
i5-san	移山
i5-san2	遺產
i5-sang3	移送
i5-si	移屍
i5-sim	移心
i5-sin	維新
i5-sing	餘生
i5-siu	維修
i5-soo3	餘數
i5-su7	移事
i5-sua2	移徙
i5-te7	餘地
i5-thai3	姨太
i5-thng5	飴糖
i5-tik8	夷狄
i5-tiunn7	姨丈
i5-tong2	餘黨
i5-tong7	移動
i5-tsai	移栽
i5-tsau2	移走
i5-tshi5	維持
i5-tshiau5	移撨
i5-tshut	移出
i5-tsin3	餘震
i5-tsioh	移借
i5-tsong3	移葬
i5-tsuan2	移轉
i5-tue7	餘地
i5-uan7	移緩
i5-uat	迤斡
i5-uat8	移越
i5-ui	餘威
i5-ui7	移位
i7--lah	奕啦
i7-bi7	異味
i7-boo5	預謀
i7-but8	異物
i7-gi7	異議
i7-gian5	預言
i7-giap8	肄業
i7-hik8	異域
i7-hiong	異鄉
i7-hong5	預防
i7-hu3	預付
i7-ian2	預演
i7-iok	預約
i7-kam2	預感
i7-ke3	預計
i7-kho	預科
i7-ki2	異己
i7-ki5	預期
i7-kian3	異見
i7-kian3	預見
i7-king2	預警
i7-koo3	預告
i7-kok	異國
i7-koo2	預估
i7-koo2	預購
i7-liau7	預料
i7-lui7	異類
i7-pi7	預備
i7-poo3	預報
i7-sai3	預賽
i7-sian	預先
i7-sim2	預審
i7-sing3	異姓
i7-soo3	異數
i7-suan2	預選
i7-suan3	預算
i7-te7	異地
i7-ti	預知
i7-tiau7	預兆
i7-ting7	預定
i7-tong5	異同
i7-tong7	異動
i7-tshik	預測
i7-tsioh	預借
i7-tsiok	預祝
i7-tsit	異質
i7-tsok8	異族
i7-tsong7	異狀
i7-tuan	異端
i7-tue7	異地
i7-ui5	譽為
ia-kip8	埃及
ia-soo	耶穌
ia7-tshi7	夜市
ia2-ah	野鴨
ia2-au5	野喉
ia2-ba5	野媌
ia2-ba5	野貓
ia2-ban5	野蠻
ia2-be2	野馬
ia2-be7	猶未
ia2-bi7	野味
ia2-bo5	尚無
ia2-bo5	抑無
ia2-go5	野鵝
ia2-gua7	野外
ia2-han3	野漢
ia2-hap8	野合
ia2-hoo5	野狐
ia2-hue	野花
ia2-ian3	野宴
ia2-iunn7	野樣
ia2-jin5	野人
ia2-kai	野痎
ia2-kau2	野狗
ia2-ke	野雞
ia2-khah	尚較
ia2-khian2	野犬
ia2-khim5	野禽
ia2-kim	冶金
ia2-king3	野徑
ia2-kiok	野菊
ia2-kiu5	野球
ia2-koh	尚更
ia2-koo	野菰
ia2-ku2	尚且
ia2-ku2	尚久
ia2-kue	野雞
ia2-lan7	野瀾
ia2-liu2	野柳
ia2-long5	野狼
ia2-loo7	野路
ia2-m7	尚毋
ia2-m7	抑毋
ia2-ma2	尚尚
ia2-niau	野貓
ia2-oo5	野葫
ia2-phang	野芳
ia2-phang	野蜂
ia2-phau3	野炮
ia2-san	野山
ia2-senn	野生
ia2-si7	猶是
ia2-sian	野仙
ia2-sim	野心
ia2-sing	野生
ia2-sing3	野性
ia2-sinn	野生
ia2-siok8	野俗
ia2-siu3	野獸
ia2-som	野蔘
ia2-song	野桑
ia2-tai5	野台
ia2-tau2	粗嘴
ia2-thoo3	野兔
ia2-ti	野豬
ia2-too7	野道
ia2-tong2	野黨
ia2-tong5	野桐
ia2-tshan	野餐
ia2-tshat8	野賊
ia2-tshau2	野草
ia2-tshiah	野赤
ia2-tshiu2	野手
ia2-tsiah	亦即
ia2-tsian3	野戰
ia2-tsiau2	野鳥
ia2-tsing	野僧
ia2-tsing2	野種
ia2-tsong7	野狀
ia2-tu	野豬
ia2-u7	尚有
ia3--tit	厭--得
ia3-ia3	厭厭
ia3-lan2	厭懶
ia5-a2	椰仔
ia5-bah	椰肉
ia5-iu5	椰油
ia5-kau3	耶教
ia5-khak	椰殼
ia5-na5	椰林
ia5-phe5	椰皮
ia5-phio5	椰瓢
ia5-sia3	爺舍
ia5-tan3	耶誕
ia5-tshiu7	椰樹
ia5-tsi2	椰子
ia5-tsiu2	椰酒
ia5-uann2	椰碗
ia7-bat	也捌
ia7-bing5	夜明
ia7-gan7	夜雁
ia7-hak8	夜學
ia7-hap8	夜合
ia7-hau7	夜校
ia7-hing5	夜行
ia7-ho2	也好
ia7-hoo5	夜壺
ia7-ian3	夜宴
ia7-ian3	夜燕
ia7-im2	夜飲
ia7-iu5	夜遊
ia7-kan	夜間
ia7-kang	夜工
ia7-kann2	也敢
ia7-kann2	亦敢
ia7-khin5	夜勤
ia7-khun5	夜勤
ia7-king2	夜景
ia7-na2	亦若
ia7-oh8	夜學
ia7-oo5	夜壺
ia7-pan	夜班
ia7-po5	夜婆
ia7-pui5	掖肥
ia7-sai2	亦使
ia7-sik	夜色
ia7-sng3	也算
ia7-suann3	掖散
ia7-tioh8	也著
ia7-tioh8	亦著
ia7-tshan	夜餐
ia7-tshe	夜叉
ia7-tshia	夜車
ia7-tshim	夜深
ia7-tsi2	掖子
ia7-tsing2	掖種
ia7-tsing3	掖種
ia7-tsinn5	掖錢
ia7-u2	夜雨
ia7-u7	亦有
iah-bah	挖肉
iah-iah	挖挖
iah-khang	挖孔
iah-khang	挖空
iah-khang3	挖掐
iah-khang3	挖控
iah-koh	益閣
iah-la7	挖撈
iah-lang5	益人
iah-lau3	挖澇
iah-liah	挖挖
iah-te2	挖底
iah-tha3	挖挓
iah-thoo5	挖土
iah-tsa2	抑早
iah-tsau2	挖走
iah-tue2	挖底
iah-tue5	挖蹄
iah-u7	益有
iah8-a2	蝶仔
iah8-be2	驛馬
iah8-hu	驛夫
iah8-hue	蝶花
iah8-king	易經
iah8-lam5	役男
iah8-lan5	蝶蘭
iah8-pit	役畢
iah8-si7	抑是
iah8-soo3	頁數
iah8-thau5	驛頭
iah8-ting5	驛亭
iah8-tiunn2	驛長
iah8-tiunn5	役場
iah8-tsam7	驛站
iah8-tsheh	頁冊
iah8-tsng	頁裝
iah8-uan5	役員
iak-iak	約約
iak-liak	約略
iak-liong7	約量
iam-a2	閹仔
iam-be2	閹馬
iam-boo7	閹戊
iam-gu5	閹牛
iam-huan7	閹宦
iam-hut8	閹核
iam-iam	閹閹
iam-inn	田嬰
iam-inn	腌蠳
iam-iunn5	閹羊
iam-kam3	閹監
iam-kang2	閹犅
iam-ke	閹雞
iam-kuann	閹官
iam-kue	醃瓜
iam-kue	閹雞
iam-sinn5	閹錢
iam-ti	閹豬
iam-tiau7	閹掉
iam-tsinn5	掩錢
iam-tu	閹豬
iam2-a2	掩仔
iam2-bat8	掩密
iam2-hong	掩風
iam2-hoo7	掩護
iam2-huat	掩法
iam2-iam2	掩掩
iam2-ki5	掩旗
iam2-mng5	掩門
iam2-ping	掩冰
iam2-sik	掩飾
iam2-sin	掩身
iam2-sit	掩熄
iam2-suann3	掩傘
iam2-the2	掩體
iam2-too2	掩肚
iam2-tshau3	掩臭
iam2-tsinn5	掩簷
iam3-hin7	厭恨
iam3-hun7	厭恨
iam3-khi3	厭氣
iam3-oo3	厭惡
iam3-se3	厭世
iam5-ang3	鹽甕
iam5-bi2	鹽米
iam5-bi7	鹽味
iam5-hai2	鹽海
iam5-huan3	鹽販
iam5-huan7	鹽犯
iam5-hue	鹽花
iam5-hun7	鹽份
iam5-iam5	鹽鹽
iam5-khong3	鹽礦
iam5-khu	鹽坵
iam5-liau5	鹽寮
iam5-loo2	鹽滷
iam5-loo7	鹽滷
iam5-pai5	鹽牌
iam5-pho	鹽波
iam5-po5	鹽婆
iam5-poo	鹽埔
iam5-sau3	鹽哨
iam5-se3	鹽稅
iam5-siau	鹽硝
iam5-sinn5	鹽豉
iam5-sinn5	鹽鹽
iam5-siong	鹽商
iam5-sng	鹽酸
iam5-thuann	鹽灘
iam5-tian5	鹽田
iam5-tiann	鹽埕
iam5-tiann5	鹽埕
iam5-tiunn5	鹽場
iam5-too7	鹽道
iam5-tsau3	鹽灶
iam5-tshan5	鹽田
iam5-tshng	鹽倉
iam5-tsinn2	鹽井
iam5-tsneg3	鹽政
iam5-tsui2	鹽水
iam5-tsun5	鹽船
iam5-un7	鹽運
iam7-ha7	炎夏
iam7-he2	焰火
iam7-he2	燄火
iam7-hiann2	艷顯
iam7-hok	豔福
iam7-hue2	焰火
iam7-hue2	燄火
iam7-ia2	豔冶
iam7-iam7	炎炎
iam7-iam7	豔豔
iam7-iann2	艷顯
iam7-iann2	豔影
iam7-jiat8	炎熱
iam7-jit8	炎日
iam7-juah8	炎熱
iam7-le7	艷麗
iam7-liat8	炎熱
iam7-ong7	艷旺
iam7-sik	艷色
iam7-sik	豔色
iam7-su2	炎暑
iam7-thian	炎天
iam7-thinn	炎天
iam7-tsong	豔妝
ian-a2	煙仔
ian-au5	咽喉
ian-bah	煙肉
ian-biat8	湮滅
ian-bu7	煙霧
ian-gi5	姻誼
ian-guan5	淵源
ian-hua	煙花
ian-hue	煙花
ian-hue2	煙火
ian-inn	螉蠮
ian-ka	姻家
ian-ke	姻家
ian-kng2	煙管
ian-ng7	煙暈
ian-sai2	煙屎
ian-tang5	煙筒
ian-tau2	煙斗
ian-tau5	嫣投
ian-tau5	鵪投
ian-thau5	嫣頭
ian-thau5	煙頭
ian-thui2	煙腿
ian-thui2	醃腿
ian-thun	鵪鶉
ian-thun5	煙塵
ian-ti	焉知
ian-tok8	煙毒
ian-tshau2	煙草
ian-tshiang5	煙腸
ian-tshin	姻親
ian-tshun	鵪鶉
ian-tsiunn	煙漿
ian-tsui2	嫣水
ian-tsun	鵪鶉
ian-tun	煙墩
ian-tun	鵪鶉
ian-un2	煙癮
ian2-bu2	演武
ian2-ge7	演藝
ian2-gi7	演義
ian2-guan5	演員
ian2-hi3	演戲
ian2-hua3	演化
ian2-ik8	演繹
ian2-kang2	演講
ian2-khia7	偃徛
ian2-kiok8	演劇
ian2-lian7	演練
ian2-loh8	偃落
ian2-phak	偃覆
ian2-pian3	演變
ian2-sak	偃捒
ian2-si7	演示
ian2-sing	衍生
ian2-sip8	演習
ian2-suat	演說
ian2-tai5	演台
ian2-thing5	蝘蜓
ian2-to2	偃倒
ian2-toh	偃桌
ian2-tsau3	演奏
ian2-tshiunn3	演唱
ian2-tshut	演出
ian2-tsin3	演進
ian2-tue5	演題
ian2-uan5	演員
ian3-hue7	宴會
ian3-im2	宴飲
ian3-kheh	宴客
ian3-kiann	燕京
ian3-lok8	宴樂
ian3-o	燕窩
ian3-sik8	宴席
ian3-toh	宴桌
ian3-tshiok	燕雀
ian3-tshui3	燕碎
ian3-tsiu2	宴酒
ian5-gin5	捐銀
ian5-goo7	延誤
ian5-gun5	捐銀
ian5-hai2	沿海
ian5-ho7	延號
ian5-huann7	沿岸
ian5-hun2	鉛粉
ian5-hun7	緣份
ian5-iu5	緣由
ian5-ji7	鉛字
ian5-jit8	延日
ian5-ki5	延期
ian5-kik	沿革
ian5-kim	捐金
ian5-kiu5	鉛球
ian5-kong2	鉛管
ian5-koo3	緣故
ian5-kue	沿街
ian5-lam2	延攬
ian5-lian5	延年
ian5-loo7	沿路
ian5-pan2	鉛版
ian5-phiann2	鉛鉼
ian5-phinn3	鉛片
ian5-phoo7	捐簿
ian5-ping5	延平
ian5-sai2	鉛屎
ian5-si5	延時
ian5-sio	延燒
ian5-siok8	延續
ian5-sip8	沿襲
ian5-siu7	延壽
ian5-sng	鉛酸
ian5-suann	延山
ian5-suann3	沿線
ian5-suann3	鉛線
ian5-sui	芫荽
ian5-tau5	鉛骰
ian5-te5	捐題
ian5-thang2	鉛桶
ian5-ti5	延遲
ian5-tiau5	鉛條
ian5-tiong5	延長
ian5-too7	沿道
ian5-toh	筵桌
ian5-tok8	鉛毒
ian5-too5	沿途
ian5-tshian5	延延
ian5-tshing2	延請
ian5-tsi2	鉛子
ian5-tsi3	延至
ian5-tsinn5	捐錢
ian5-tsinn5	鉛錢
ian5-tue5	捐題
ian5-tui7	鉛墜
ian5-uan7	延緩
iang--lang5	央--人
iang-hang5	央行
iang-iang	鞅鞅
iang-ka3	央教
iang-kip8	央及
iang-lang5	央人
iang-se	鞅紗
iang-thok	央託
iang-tshiann2	央請
iang2-bio2	養母
iang2-bo2	養母
iang2-hoo7	養護
iang2-hu7	養父
iang2-hun	養分
iang2-iok8	養育
iang2-ke	養家
iang2-li2	養女
iang2-lo2	養老
iang2-noo2	養老
iang2-penn5	養病
iang2-penn7	養病
iang2-siam7	養贍
iang2-sin5	養神
iang2-sing	養生
iang2-sing3	養性
iang2-sing5	養成
iang2-siong	養傷
iang2-sit8	養殖
iang2-tsing7	養靜
iang2-tsu2	養子
iang5-kan	陽間
iang5-khi2	揚起
iang5-khi3	揚氣
iang5-khim5	洋琴
iang5-kong	楊公
iang5-siu7	陽壽
iang5-tai5	陽台
iang7-kun	背巾
iann-hue	英花
iann2-bak8	影目
iann2-be5	影迷
iann2-hi3	影戲
iann2-iang5	影揚
iann2-iann2	影影
iann2-in3	影印
iann2-iong5	影揚
iann2-jiah	影跡
iann2-kinn3	影見
iann2-kiok8	影劇
iann2-liah	影跡
iann2-phing5	影評
iann2-phinn3	影片
iann2-pun2	影本
iann2-sia7	影射
iann2-siann5	影城
iann2-tian2	影展
iann2-ting	影燈
iann2-tioh8	影著
iann2-tshenn	影星
iann2-tshinn	影星
iann2-tsiah	影跡
iann2-tuann5	影壇
iann3-iann3	映映
iann5--e5	贏的
iann5-be2	營馬
iann5-bin7	贏面
iann5-boo7	營幕
iann5-he2	營火
iann5-hue2	營火
iann5-ke3	嬴過
iann5-ke3	贏過
iann5-khu	營區
iann5-ki5	贏棋
iann5-kiau2	贏筊
iann5-kuann	營官
iann5-kue3	嬴過
iann5-kue3	贏過
iann5-lai7	營內
iann5-lui2	營壘
iann5-ngoo2	營伍
iann5-pang5	營房
iann5-ping	營兵
iann5-poo7	營部
iann5-puann5	營盤
iann5-sin3	營汛
iann5-tau2	營斗
iann5-te7	營地
iann5-tioh8	贏著
iann5-tiunn2	營長
iann5-tiunn3	營帳
iann5-tsai7	嬴在
iann5-tsai7	贏在
iann5-tse7	營寨
iann5-tshu2	贏取
iann5-tsinn5	嬴錢
iann5-tsinn5	贏錢
iann5-tsu2	營主
iann5-tue7	營地
iann5-tui7	營隊
iann7-bak8	映目
iann7-bak8	焰目
iann7-bang2	颺蚊
iann7-bi2	颺米
iann7-hong	颺風
iann7-iann7	颺颺
iann7-khi3	揚棄
iann7-khim5	揚琴
iap-a2	挹仔
iap-be2	挹尾
iap-bue2	挹尾
iap-iap	挹挹
iap-kak	挹角
iap-liap	挹懾
iap-phiah	挹僻
iap-siam	揜瞻
iap-siap	揜塞
iap-sit8	挹翼
iap-thiap	挹貼
iap-tshiu2	揜手
iap8-a2	葉仔
iap8-mng5	葉門
iap8-su	葉書
iat-kian3	謁見
iat-sing3	謁聖
iat-tsoo2	謁祖
iat8-be2	搧尾
iat8-he2	擛火
iat8-hok8	悅服
iat8-hong	擛風
iat8-hue2	擛火
iat8-iat8	擛搧
iat8-kuan3	閱卷
iat8-lam2	閱覽
iat8-lang5	擛人
iat8-lik8	閱歷
iat8-phang5	擛帆
iat8-ping	閱兵
iat8-sim	悅心
iat8-sinn3	擛扇
iat8-sit	擛熄
iat8-tshiu2	擛手
iau-eh	枵噎
iau-gik8	妖孽
iau-goo7	枵餓
iau-hiap8	要脅
iau-hng	枵荒
iau-huat	妖法
iau-iam7	妖艷
iau-ian3	邀宴
iau-iau	枵枵
iau-iok	邀約
iau-kau2	枵狗
iau-ki	飫饑
iau-kiau	妖嬌
iau-kiu5	要求
iau-kong5	枵狂
iau-kuai3	妖怪
iau-kue	枵雞
iau-li5	枵釐
iau-lo5	枵羅
iau-luan7	枵亂
iau-moo5	妖魔
iau-pa2	枵飽
iau-sai5	枵饞
iau-si2	枵死
iau-sia5	妖邪
iau-siau2	枵瘋
iau-siong	夭殤
iau-siunn7	枵想
iau-soo3	枵燥
iau-sut8	妖術
iau-too7	妖道
iau-tshenn	妖星
iau-tshiann2	邀請
iau-tshing2	邀請
iau-tshinn	妖星
iau-tshiong	要衝
iau-tsiann	妖精
iau-tsip8	邀集
iau2-be7	猶未
iau2-bu7	要務
iau2-bue7	猶未
iau2-e5	猶的
iau2-ho2	猶好
iau2-khah	猶較
iau2-koh	尚更
iau2-ku2	尚且
iau2-ku2	猶久
iau2-si7	猶是
iau2-siu7	夭壽
iau2-thiau2	窈窕
iau2-tsiat	夭折
iau2-u7	猶有
iau3-ai3	要隘
iau3-be7	猶未
iau3-bo5	猶無
iau3-bu7	要務
iau3-hai7	要害
iau3-hang7	要項
iau3-hiap8	要脅
iau3-huan7	要犯
iau3-ing7	要用
iau3-jin5	要人
iau3-kak	要角
iau3-khau2	要口
iau3-kiann7	要件
iau3-kik	要擊
iau3-kin2	要緊
iau3-kiu5	要求
iau3-koh	猶閣
iau3-kuat	要訣
iau3-ling2	要領
iau3-liok8	要略
iau3-loo7	要路
iau3-sai3	要塞
iau3-si7	猶是
iau3-sng3	猶算
iau3-soo2	要所
iau3-soo3	要素
iau3-su7	要事
iau3-tam5	要談
iau3-te7	要地
iau3-tiam2	要點
iau3-too7	要道
iau3-tshiong	要衝
iau3-tshu3	要處
iau3-tsi2	要旨
iau3-tsit	要職
iau3-tue7	要地
iau3-uan5	要員
iau5-gian5	謠言
iau5-ham5	瑤函
iau5-khong3	遙控
iau5-pai3	遙拜
iau5-siong2	遙想
iau5-thuan5	謠傳
iau5-ti5	瑤池
iau5-tong7	搖動
iau5-tsiok	遙祝
iau5-tsiong	瑤章
iau5-uan2	遙遠
iaunn-iaunn	貓貓
ik-ban7	億萬
ik-iong5	抑揚
ik-iu2	益友
ik-ke3	溢價
ik-kiu7	憶舊
ik-lan7	厄難
ik-lang5	益人
ik-lik8	抑勒
ik-lin	溢奶
ik-ling	溢奶
ik-ni	溢奶
ik-siu7	益壽
ik-suat	臆說
ik-thiong5	益蟲
ik-ti3	益智
ik-tiau7	億兆
ik-tshik	臆測
ik-tshu3	益處
ik-tshut	溢出
ik-un7	厄運
ik-ut	抑鬱
ik8-be2	驛馬
ik8-biau5	疫苗
ik8-hak8	易學
ik8-hu	驛夫
ik8-hua3	液化
ik8-i	浴衣
ik8-im	譯音
ik8-jit8	易日
ik8-jit8	翌日
ik8-khi3	疫氣
ik8-kin	浴巾
ik8-king	易經
ik8-king	浴間
ik8-kui2	疫鬼
ik8-kun	浴巾
ik8-loo7	驛路
ik8-mia5	譯名
ik8-pang5	浴房
ik8-penn7	疫病
ik8-phun5	浴盆
ik8-pinn7	疫病
ik8-puat	劃撥
ik8-pun2	譯本
ik8-sann	浴衫
ik8-sik	浴室
ik8-sing	佾生
ik8-thai3	液態
ik8-ti5	浴池
ik8-tiau5	易朝
ik8-tiunn5	浴場
ik8-tsenn	液晶
ik8-tshiu2	易手
ik8-tsia2	譯者
ik8-tsing3	疫症
ik8-tsinn	液晶
ik8-tsu3	譯註
ik8-uan5	譯員
im--si2	淹死
im-bai5	陰霾
im-bat8	淹密
im-boo5	陰謀
im-but8	陰物
im-gi2	音語
im-hau7	音效
im-he2	陰火
im-hiam2	陰險
im-hiang2	音響
im-hiong2	音響
im-hong	陰風
im-hoo7	陰戶
im-hu2	陰府
im-hu5	音符
im-hue2	陰火
im-hun5	陰魂
im-ian5	姻緣
im-iang5	陰陽
im-iann2	陰影
im-im	掩掩
im-im	陰陰
im-iong5	陰陽
im-ji7	陰字
im-kai	音階
im-kan	陰間
im-kan2	陰癇
im-kau	陰溝
im-keh	音格
im-kham3	淹崁
im-khi3	陰氣
im-ki	陰居
im-king	陰莖
im-kip	音級
im-kong	陰光
im-kong	陰功
im-ku	陰居
im-ku7	陰具
im-kua	淫歌
im-kuann	陰官
im-liang5	陰涼
im-liang7	音量
im-lik8	陰曆
im-ling2	陰冷
im-liong7	音量
im-long5	陰囊
im-lut8	音律
im-mng5	陰毛
im-mng5	陰門
im-pho	音波
im-poo3	陰報
im-poo7	陰部
im-pue	陰杯
im-san3	陰疝
im-sat	陰虱
im-sat	陰蝨
im-si	陰司
im-si2	淹死
im-sik	音色
im-sim	陰森
im-sin3	音信
im-sin3	音訊
im-siok8	陰屬
im-sok	音速
im-te7	陰地
im-thang5	陰蟲
im-theh8	陰宅
im-thinn	陰天
im-thuat	陰脫
im-tian7	陰電
im-tiau7	音調
im-tik	陰德
im-tim5	陰沈
im-tim5	陰沉
im-too7	陰道
im-tok8	陰毒
im-tsat	音節
im-tshan5	淹田
im-tshng	陰瘡
im-tshng5	陰床
im-tsi2	音子
im-tsiat	音節
im-tsik	陰騭
im-tsik	音積
im-tsing3	陰症
im-tsing5	陰晴
im-tsit	音質
im-tsui2	淹水
im-tui	陰堆
im-ui5	陰萎
im-un7	音韻
im2-hin7	飲恨
im2-hun7	飲恨
im2-ian3	飲宴
im2-iong7	飲用
im2-liau7	飲料
im2-te5	飲茶
im2-tsiu2	飲酒
im3-bau2	蔭卯
im3-he2	窨火
im3-he2	蔭火
im3-hioh8	蔭葉
im3-hue2	窨火
im3-hue2	蔭火
im3-hun	蔭分
im3-hun7	蔭份
im3-hun7	蔭分
im3-kham3	蔭崁
im3-koo2	蔭股
im3-lang5	蔭人
im3-lik8	蔭綠
im3-ng2	蔭影
im3-pui5	廕肥
im3-si	蔭屍
im3-si7	窨豉
im3-sin	蔭紳
im3-sin	蔭身
im3-sing	蔭生
im3-sinn7	蔭豉
im3-sit	蔭熄
im3-te7	蔭地
im3-tui	蔭堆
im5-hing7	淫行
im5-hong	淫風
im5-hu7	淫婦
im5-iok8	淫慾
im5-khiok	淫曲
im5-lu2	淫女
im5-luan7	淫亂
im5-phun	淫奔
im5-sian2	淫癬
im5-sim	淫心
im5-su5	淫詞
im5-tong7	淫蕩
im5-tshi2	淫鼠
im5-tshu2	淫鼠
im5-tsui2	淫水
im5-ue7	淫畫
im5-ui	淫威
in-ai3	恩愛
in-ho5	因何
in-hui7	恩惠
in-i	因依
in-ia5	怹爺
in-ian5	因緣
in-ian5	姻緣
in-in	絪絪
in-ing3	因應
in-iu5	因由
in-ji5	因而
in-jin5	恩人
in-kam3	殷鑑
in-kheh	恩客
in-khin5	殷勤
in-khun5	殷勤
in-ko2	因果
in-kong	恩光
in-nia5	怹娘
in-pe7	怹父
in-siu5	恩仇
in-soo3	因素
in-su	恩師
in-su3	恩賜
in-suann3	絪線
in-tau	怹兜
in-tian2	恩典
in-tin5	絪纏
in-tin5	茵籐
in-tinn5	絪纏
in-tshiat	殷切
in-tshu2	因此
in-tshu3	怹厝
in-tsi2	因子
in-tsing5	恩情
in-tsun2	恩准
in-tuan	因端
in-tuann	因端
in-uan3	恩怨
in-ui7	因為
in2--lang5	允--人
in2-bih	隱匿
in2-bit8	隱密
in2-gian5	引言
in2-ham5	隱含
in2-he2	引火
in2-hi2	允許
in2-hi3	允戲
in2-hing5	隱形
in2-hoo7	引禍
in2-hong	引瘋
in2-huat	引發
in2-hue2	引火
in2-hue2	隱火
in2-hun5	引魂
in2-iong7	引用
in2-iu	隱憂
in2-iu2	引誘
in2-jian5	引燃
in2-jip8	引入
in2-jit8	往日
in2-ju7	隱喻
in2-ke3	引繼
in2-kheh	引客
in2-khi2	引起
in2-khing3	引磬
in2-ki3	引據
in2-kian3	引見
in2-koo2	引古
in2-ku3	引句
in2-ku3	引據
in2-lai5	引來
in2-lang5	允人
in2-lang5	引人
in2-lik8	引力
in2-loo7	引路
in2-nia2	引領
in2-pok8	引爆
in2-sim	引心
in2-sit	允穡
in2-siu7	引受
in2-su7	引序
in2-su7	隱士
in2-suann3	引線
in2-sut	引率
in2-sut8	引述
in2-the3	引退
in2-thin7	應滕
in2-thua7	引汰
in2-thue3	引退
in2-tian7	引電
in2-tit	引得
in2-too7	引導
in2-too7	引道
in2-too7	引度
in2-too7	引渡
in2-tsai3	引載
in2-tsan3	引讚
in2-tsheh	引冊
in2-tshik	穩粟
in2-tshin	允親
in2-tshut	引出
in2-tsian3	引薦
in2-tsin3	引進
in2-tsing3	引證
in2-tsing5	隱情
in2-tsiu7	引就
in2-tsng3	引鑽
in2-tsong5	隱藏
in2-tsu2	穩主
in2-tsun2	允准
in2-tun3	允頓
in2-tun7	隱遁
in2-uann7	引換
in3-a2	印仔
in3-ah8	印盒
in3-bi2	應米
in3-boo5	印模
in3-eh	應呃
in3-eh	應噎
